[2024-06-01 02:36:33:4096][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
[2024-06-01 02:36:33:4107][main] INFO  z.w.WeatherAssignmentApplication - Started WeatherAssignmentApplication in 3.998 seconds (process running for 4.58)
[2024-06-01 02:36:33:4307][http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2024-06-01 02:36:33:4307][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2024-06-01 02:36:33:4309][http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
[2024-06-01 02:36:34:4683][http-nio-8080-exec-7] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 247 ms
[2024-06-01 02:42:59:389755][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2024-06-01 02:42:59:389757][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
[2024-06-01 02:42:59:389764][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
[2024-06-01 02:43:02:497][main] INFO  z.w.WeatherAssignmentApplication - Starting WeatherAssignmentApplication using Java 17.0.11 with PID 30116 (C:\Users\user\OneDrive\Desktop~1-HyunjunLee-56359672\제로베이스\springlecture\weatherAssignment\build\classes\java\main started by user in C:\Users\user\OneDrive\Desktop~1-HyunjunLee-56359672\제로베이스\springlecture\weatherAssignment)
[2024-06-01 02:43:02:499][main] INFO  z.w.WeatherAssignmentApplication - No active profile set, falling back to 1 default profile: "default"
[2024-06-01 02:43:03:1128][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2024-06-01 02:43:03:1173][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40 ms. Found 2 JPA repository interfaces.
[2024-06-01 02:43:04:1656][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
[2024-06-01 02:43:04:1668][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2024-06-01 02:43:04:1669][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2024-06-01 02:43:04:1670][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
[2024-06-01 02:43:04:1739][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2024-06-01 02:43:04:1740][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1205 ms
[2024-06-01 02:43:04:1854][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2024-06-01 02:43:04:2095][main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@51fe7f15
[2024-06-01 02:43:04:2097][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2024-06-01 02:43:04:2134][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2024-06-01 02:43:04:2177][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.8.Final
[2024-06-01 02:43:04:2206][main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
[2024-06-01 02:43:04:2438][main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
[2024-06-01 02:43:04:2493][main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
[2024-06-01 02:43:05:3126][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
[2024-06-01 02:43:05:3129][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2024-06-01 02:43:05:3447][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2024-06-01 02:43:06:3775][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2024-06-01 02:43:06:3790][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
[2024-06-01 02:43:06:3801][main] INFO  z.w.WeatherAssignmentApplication - Started WeatherAssignmentApplication in 3.682 seconds (process running for 4.227)
[2024-06-01 02:43:08:6237][http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2024-06-01 02:43:08:6238][http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2024-06-01 02:43:08:6239][http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
[2024-06-01 02:43:09:6695][http-nio-8080-exec-7] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 274 ms
[2024-06-01 02:43:38:35904][SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
[2024-06-01 02:43:38:35905][SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
